Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
[PG] Iter 318/500 | Mean Reward=-47.00
[PG] Iter 319/500 | Mean Reward=-81.09
[PG] Iter 320/500 | Mean Reward=-71.69
Saved latest PG checkpoint (iter 320) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=-13.85
[PG] Iter 322/500 | Mean Reward=-76.40
[PG] Iter 323/500 | Mean Reward=-24.05
[PG] Iter 324/500 | Mean Reward=-71.03
[PG] Iter 325/500 | Mean Reward=-71.40
[PG] Iter 326/500 | Mean Reward=-83.37
[PG] Iter 327/500 | Mean Reward=-46.16
[PG] Iter 328/500 | Mean Reward=-22.01
[PG] Iter 329/500 | Mean Reward=-34.89
[PG] Iter 330/500 | Mean Reward=-35.75
Saved latest PG checkpoint (iter 330) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=-9.62
[PG] Iter 332/500 | Mean Reward=5.13
[PG] Iter 333/500 | Mean Reward=-39.69
[PG] Iter 334/500 | Mean Reward=-73.06
[PG] Iter 335/500 | Mean Reward=-106.14
[PG] Iter 336/500 | Mean Reward=-32.34
[PG] Iter 337/500 | Mean Reward=-31.68
[PG] Iter 338/500 | Mean Reward=-37.08
[PG] Iter 339/500 | Mean Reward=-21.16
[PG] Iter 340/500 | Mean Reward=-25.53
Saved latest PG checkpoint (iter 340) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=-24.69
[PG] Iter 342/500 | Mean Reward=-21.36
[PG] Iter 343/500 | Mean Reward=-8.36
[PG] Iter 344/500 | Mean Reward=-17.78
[PG] Iter 345/500 | Mean Reward=-38.01
[PG] Iter 346/500 | Mean Reward=-46.59
[PG] Iter 347/500 | Mean Reward=-63.89
[PG] Iter 348/500 | Mean Reward=-37.51
[PG] Iter 349/500 | Mean Reward=-41.96
[PG] Iter 350/500 | Mean Reward=-38.54
