Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=False
[PG] Iter 367/500 | Mean Reward=-44.09
[PG] Iter 368/500 | Mean Reward=-10.44
[PG] Iter 369/500 | Mean Reward=-53.40
[PG] Iter 370/500 | Mean Reward=-50.34
Saved latest PG checkpoint (iter 370) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=-29.69
[PG] Iter 372/500 | Mean Reward=-62.73
[PG] Iter 373/500 | Mean Reward=-44.76
[PG] Iter 374/500 | Mean Reward=-51.70
[PG] Iter 375/500 | Mean Reward=-28.30
[PG] Iter 376/500 | Mean Reward=-68.31
[PG] Iter 377/500 | Mean Reward=-34.84
[PG] Iter 378/500 | Mean Reward=-42.80
[PG] Iter 379/500 | Mean Reward=-10.96
[PG] Iter 380/500 | Mean Reward=3.77
Saved latest PG checkpoint (iter 380) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=-81.59
[PG] Iter 382/500 | Mean Reward=-20.37
[PG] Iter 383/500 | Mean Reward=-9.85
[PG] Iter 384/500 | Mean Reward=-20.06
[PG] Iter 385/500 | Mean Reward=-15.52
[PG] Iter 386/500 | Mean Reward=-56.22
[PG] Iter 387/500 | Mean Reward=-47.83
[PG] Iter 388/500 | Mean Reward=-45.42
[PG] Iter 389/500 | Mean Reward=-24.14
[PG] Iter 390/500 | Mean Reward=-36.93
Saved latest PG checkpoint (iter 390) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=-39.42
[PG] Iter 392/500 | Mean Reward=-9.57
[PG] Iter 393/500 | Mean Reward=-74.14
[PG] Iter 394/500 | Mean Reward=-13.69
[PG] Iter 395/500 | Mean Reward=-16.53
[PG] Iter 396/500 | Mean Reward=-18.30
[PG] Iter 397/500 | Mean Reward=-121.13
[PG] Iter 398/500 | Mean Reward=-5.16
[PG] Iter 399/500 | Mean Reward=-21.55
[PG] Iter 400/500 | Mean Reward=-10.45
Saved latest PG checkpoint (iter 400) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=-4.11
[PG] Iter 402/500 | Mean Reward=-8.89
[PG] Iter 403/500 | Mean Reward=-85.86
[PG] Iter 404/500 | Mean Reward=-62.35
[PG] Iter 405/500 | Mean Reward=-61.93
[PG] Iter 406/500 | Mean Reward=-34.69
[PG] Iter 407/500 | Mean Reward=-74.68
[PG] Iter 408/500 | Mean Reward=4.38
[PG] Iter 409/500 | Mean Reward=-56.45
[PG] Iter 410/500 | Mean Reward=-17.10
Saved latest PG checkpoint (iter 410) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=-56.01
[PG] Iter 412/500 | Mean Reward=-46.71
[PG] Iter 413/500 | Mean Reward=-20.74
[PG] Iter 414/500 | Mean Reward=-118.35
[PG] Iter 415/500 | Mean Reward=-11.16
[PG] Iter 416/500 | Mean Reward=-22.38
[PG] Iter 417/500 | Mean Reward=-47.65
[PG] Iter 418/500 | Mean Reward=-14.99
[PG] Iter 419/500 | Mean Reward=-90.88
[PG] Iter 420/500 | Mean Reward=-90.54
Saved latest PG checkpoint (iter 420) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=-67.27
[PG] Iter 422/500 | Mean Reward=-33.60
[PG] Iter 423/500 | Mean Reward=-50.85
[PG] Iter 424/500 | Mean Reward=-51.75
[PG] Iter 425/500 | Mean Reward=-32.56
[PG] Iter 426/500 | Mean Reward=-17.45
[PG] Iter 427/500 | Mean Reward=-31.82
[PG] Iter 428/500 | Mean Reward=-19.38
[PG] Iter 429/500 | Mean Reward=-55.16
[PG] Iter 430/500 | Mean Reward=-51.06
Saved latest PG checkpoint (iter 430) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=-15.06
[PG] Iter 432/500 | Mean Reward=-49.22
[PG] Iter 433/500 | Mean Reward=-34.71
[PG] Iter 434/500 | Mean Reward=-35.00
[PG] Iter 435/500 | Mean Reward=-20.90
[PG] Iter 436/500 | Mean Reward=-31.90
[PG] Iter 437/500 | Mean Reward=-37.79
[PG] Iter 438/500 | Mean Reward=-60.58
[PG] Iter 439/500 | Mean Reward=-49.35
[PG] Iter 440/500 | Mean Reward=-74.95
Saved latest PG checkpoint (iter 440) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=-35.85
[PG] Iter 442/500 | Mean Reward=-55.65
[PG] Iter 443/500 | Mean Reward=-46.96
[PG] Iter 444/500 | Mean Reward=-44.39
[PG] Iter 445/500 | Mean Reward=-57.23
[PG] Iter 446/500 | Mean Reward=-23.37
[PG] Iter 447/500 | Mean Reward=-60.84
[PG] Iter 448/500 | Mean Reward=-1.93
[PG] Iter 449/500 | Mean Reward=-53.49
[PG] Iter 450/500 | Mean Reward=-26.41
Saved latest PG checkpoint (iter 450) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 451/500 | Mean Reward=-50.83
