Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 436/500 | Mean Reward=74.26
[PG] Iter 437/500 | Mean Reward=101.10
[PG] Iter 438/500 | Mean Reward=-15.57
[PG] Iter 439/500 | Mean Reward=105.05
[PG] Iter 440/500 | Mean Reward=102.10
Saved latest PG checkpoint (iter 440) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=110.06
[PG] Iter 442/500 | Mean Reward=107.60
[PG] Iter 443/500 | Mean Reward=130.40
[PG] Iter 444/500 | Mean Reward=122.86
[PG] Iter 445/500 | Mean Reward=48.83
[PG] Iter 446/500 | Mean Reward=129.11
[PG] Iter 447/500 | Mean Reward=92.27
[PG] Iter 448/500 | Mean Reward=117.61
[PG] Iter 449/500 | Mean Reward=144.77
[PG] Iter 450/500 | Mean Reward=112.78
Saved latest PG checkpoint (iter 450) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 451/500 | Mean Reward=122.66
[PG] Iter 452/500 | Mean Reward=103.99
[PG] Iter 453/500 | Mean Reward=106.68
[PG] Iter 454/500 | Mean Reward=216.39
[PG] Iter 455/500 | Mean Reward=105.86
[PG] Iter 456/500 | Mean Reward=101.06
[PG] Iter 457/500 | Mean Reward=150.45
[PG] Iter 458/500 | Mean Reward=116.30
[PG] Iter 459/500 | Mean Reward=116.27
[PG] Iter 460/500 | Mean Reward=136.64
