Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 299/350 | Mean Reward=500.00
[PG] Iter 300/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 300) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 301/350 | Mean Reward=457.33
[PG] Iter 302/350 | Mean Reward=500.00
[PG] Iter 303/350 | Mean Reward=500.00
[PG] Iter 304/350 | Mean Reward=500.00
[PG] Iter 305/350 | Mean Reward=372.33
[PG] Iter 306/350 | Mean Reward=500.00
[PG] Iter 307/350 | Mean Reward=500.00
[PG] Iter 308/350 | Mean Reward=500.00
[PG] Iter 309/350 | Mean Reward=451.33
[PG] Iter 310/350 | Mean Reward=495.00
Saved latest PG checkpoint (iter 310) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 311/350 | Mean Reward=370.33
[PG] Iter 312/350 | Mean Reward=500.00
[PG] Iter 313/350 | Mean Reward=500.00
[PG] Iter 314/350 | Mean Reward=439.33
[PG] Iter 315/350 | Mean Reward=425.67
[PG] Iter 316/350 | Mean Reward=500.00
[PG] Iter 317/350 | Mean Reward=500.00
[PG] Iter 318/350 | Mean Reward=500.00
[PG] Iter 319/350 | Mean Reward=444.67
[PG] Iter 320/350 | Mean Reward=442.33
Saved latest PG checkpoint (iter 320) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 321/350 | Mean Reward=442.33
[PG] Iter 322/350 | Mean Reward=500.00
[PG] Iter 323/350 | Mean Reward=500.00
[PG] Iter 324/350 | Mean Reward=413.67
[PG] Iter 325/350 | Mean Reward=488.67
[PG] Iter 326/350 | Mean Reward=409.33
[PG] Iter 327/350 | Mean Reward=500.00
[PG] Iter 328/350 | Mean Reward=498.33
[PG] Iter 329/350 | Mean Reward=410.67
[PG] Iter 330/350 | Mean Reward=436.33
Saved latest PG checkpoint (iter 330) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 331/350 | Mean Reward=355.33
[PG] Iter 332/350 | Mean Reward=500.00
[PG] Iter 333/350 | Mean Reward=380.67
[PG] Iter 334/350 | Mean Reward=500.00
[PG] Iter 335/350 | Mean Reward=500.00
[PG] Iter 336/350 | Mean Reward=500.00
[PG] Iter 337/350 | Mean Reward=500.00
[PG] Iter 338/350 | Mean Reward=500.00
[PG] Iter 339/350 | Mean Reward=500.00
[PG] Iter 340/350 | Mean Reward=447.67
Saved latest PG checkpoint (iter 340) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 341/350 | Mean Reward=500.00
[PG] Iter 342/350 | Mean Reward=500.00
[PG] Iter 343/350 | Mean Reward=492.67
[PG] Iter 344/350 | Mean Reward=500.00
[PG] Iter 345/350 | Mean Reward=470.33
[PG] Iter 346/350 | Mean Reward=500.00
[PG] Iter 347/350 | Mean Reward=431.00
[PG] Iter 348/350 | Mean Reward=500.00
[PG] Iter 349/350 | Mean Reward=500.00
[PG] Iter 350/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 350) - P3/Q3/Batch1000/cartpole/checkpoints/pg_CartPole-v1_last.pth
Saved PG plot: P3/Q3/Batch1000/cartpole/plots/pg_CartPole-v1_20251102_190112.png
