Using device: cpu
PG training on CartPole-v1 | reward_to_go=False adv_norm=False
Saved latest PG checkpoint (iter 310) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 311/350 | Mean Reward=194.65
[PG] Iter 312/350 | Mean Reward=198.69
[PG] Iter 313/350 | Mean Reward=189.48
[PG] Iter 314/350 | Mean Reward=190.81
[PG] Iter 315/350 | Mean Reward=184.04
[PG] Iter 316/350 | Mean Reward=168.23
[PG] Iter 317/350 | Mean Reward=166.16
[PG] Iter 318/350 | Mean Reward=159.25
[PG] Iter 319/350 | Mean Reward=172.69
[PG] Iter 320/350 | Mean Reward=159.41
Saved latest PG checkpoint (iter 320) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 321/350 | Mean Reward=167.83
[PG] Iter 322/350 | Mean Reward=182.36
[PG] Iter 323/350 | Mean Reward=185.41
[PG] Iter 324/350 | Mean Reward=187.41
[PG] Iter 325/350 | Mean Reward=191.59
[PG] Iter 326/350 | Mean Reward=196.04
[PG] Iter 327/350 | Mean Reward=200.08
[PG] Iter 328/350 | Mean Reward=211.08
[PG] Iter 329/350 | Mean Reward=208.75
[PG] Iter 330/350 | Mean Reward=216.12
Saved latest PG checkpoint (iter 330) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 331/350 | Mean Reward=212.79
[PG] Iter 332/350 | Mean Reward=199.54
[PG] Iter 333/350 | Mean Reward=222.30
[PG] Iter 334/350 | Mean Reward=225.52
[PG] Iter 335/350 | Mean Reward=222.26
[PG] Iter 336/350 | Mean Reward=217.61
[PG] Iter 337/350 | Mean Reward=215.00
[PG] Iter 338/350 | Mean Reward=221.74
[PG] Iter 339/350 | Mean Reward=219.43
[PG] Iter 340/350 | Mean Reward=244.29
Saved latest PG checkpoint (iter 340) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 341/350 | Mean Reward=251.65
[PG] Iter 342/350 | Mean Reward=252.65
[PG] Iter 343/350 | Mean Reward=307.94
[PG] Iter 344/350 | Mean Reward=296.89
[PG] Iter 345/350 | Mean Reward=318.31
[PG] Iter 346/350 | Mean Reward=347.07
[PG] Iter 347/350 | Mean Reward=363.80
[PG] Iter 348/350 | Mean Reward=399.23
[PG] Iter 349/350 | Mean Reward=349.20
[PG] Iter 350/350 | Mean Reward=373.86
Saved latest PG checkpoint (iter 350) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
Saved PG plot: P3/Q2/cartpole/plots/pg_CartPole-v1_20251102_180940.png
