Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 265/350 | Mean Reward=500.00
[PG] Iter 266/350 | Mean Reward=500.00
[PG] Iter 267/350 | Mean Reward=485.18
[PG] Iter 268/350 | Mean Reward=500.00
[PG] Iter 269/350 | Mean Reward=500.00
[PG] Iter 270/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 270) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 271/350 | Mean Reward=493.36
[PG] Iter 272/350 | Mean Reward=500.00
[PG] Iter 273/350 | Mean Reward=500.00
[PG] Iter 274/350 | Mean Reward=500.00
[PG] Iter 275/350 | Mean Reward=500.00
[PG] Iter 276/350 | Mean Reward=487.18
[PG] Iter 277/350 | Mean Reward=500.00
[PG] Iter 278/350 | Mean Reward=500.00
[PG] Iter 279/350 | Mean Reward=500.00
[PG] Iter 280/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 280) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 281/350 | Mean Reward=500.00
[PG] Iter 282/350 | Mean Reward=489.73
[PG] Iter 283/350 | Mean Reward=500.00
[PG] Iter 284/350 | Mean Reward=500.00
[PG] Iter 285/350 | Mean Reward=500.00
[PG] Iter 286/350 | Mean Reward=497.82
[PG] Iter 287/350 | Mean Reward=500.00
[PG] Iter 288/350 | Mean Reward=493.18
[PG] Iter 289/350 | Mean Reward=496.64
[PG] Iter 290/350 | Mean Reward=497.36
Saved latest PG checkpoint (iter 290) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 291/350 | Mean Reward=487.91
[PG] Iter 292/350 | Mean Reward=500.00
[PG] Iter 293/350 | Mean Reward=488.27
[PG] Iter 294/350 | Mean Reward=493.45
[PG] Iter 295/350 | Mean Reward=470.36
[PG] Iter 296/350 | Mean Reward=458.00
[PG] Iter 297/350 | Mean Reward=479.27
[PG] Iter 298/350 | Mean Reward=500.00
[PG] Iter 299/350 | Mean Reward=485.45
[PG] Iter 300/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 300) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 301/350 | Mean Reward=500.00
[PG] Iter 302/350 | Mean Reward=487.55
[PG] Iter 303/350 | Mean Reward=500.00
[PG] Iter 304/350 | Mean Reward=500.00
[PG] Iter 305/350 | Mean Reward=484.27
[PG] Iter 306/350 | Mean Reward=445.67
[PG] Iter 307/350 | Mean Reward=481.73
[PG] Iter 308/350 | Mean Reward=481.27
[PG] Iter 309/350 | Mean Reward=500.00
[PG] Iter 310/350 | Mean Reward=494.27
Saved latest PG checkpoint (iter 310) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 311/350 | Mean Reward=500.00
[PG] Iter 312/350 | Mean Reward=484.73
[PG] Iter 313/350 | Mean Reward=464.27
[PG] Iter 314/350 | Mean Reward=418.46
[PG] Iter 315/350 | Mean Reward=418.67
[PG] Iter 316/350 | Mean Reward=485.73
[PG] Iter 317/350 | Mean Reward=487.09
[PG] Iter 318/350 | Mean Reward=455.55
[PG] Iter 319/350 | Mean Reward=478.82
[PG] Iter 320/350 | Mean Reward=488.00
Saved latest PG checkpoint (iter 320) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 321/350 | Mean Reward=443.00
[PG] Iter 322/350 | Mean Reward=500.00
[PG] Iter 323/350 | Mean Reward=475.45
