Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 422/500 | Mean Reward=141.33
[PG] Iter 423/500 | Mean Reward=117.75
[PG] Iter 424/500 | Mean Reward=106.27
[PG] Iter 425/500 | Mean Reward=116.56
[PG] Iter 426/500 | Mean Reward=154.72
[PG] Iter 427/500 | Mean Reward=168.72
[PG] Iter 428/500 | Mean Reward=153.95
[PG] Iter 429/500 | Mean Reward=141.46
[PG] Iter 430/500 | Mean Reward=109.99
Saved latest PG checkpoint (iter 430) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=109.17
[PG] Iter 432/500 | Mean Reward=129.79
[PG] Iter 433/500 | Mean Reward=140.45
[PG] Iter 434/500 | Mean Reward=153.99
[PG] Iter 435/500 | Mean Reward=134.03
[PG] Iter 436/500 | Mean Reward=82.98
[PG] Iter 437/500 | Mean Reward=103.65
[PG] Iter 438/500 | Mean Reward=103.72
[PG] Iter 439/500 | Mean Reward=151.47
[PG] Iter 440/500 | Mean Reward=171.03
Saved latest PG checkpoint (iter 440) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 441/500 | Mean Reward=133.88
[PG] Iter 442/500 | Mean Reward=101.23
[PG] Iter 443/500 | Mean Reward=114.43
[PG] Iter 444/500 | Mean Reward=172.71
[PG] Iter 445/500 | Mean Reward=128.87
[PG] Iter 446/500 | Mean Reward=139.50
[PG] Iter 447/500 | Mean Reward=153.21
[PG] Iter 448/500 | Mean Reward=59.38
[PG] Iter 449/500 | Mean Reward=153.11
[PG] Iter 450/500 | Mean Reward=106.96
Saved latest PG checkpoint (iter 450) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 451/500 | Mean Reward=111.93
[PG] Iter 452/500 | Mean Reward=101.86
[PG] Iter 453/500 | Mean Reward=167.73
[PG] Iter 454/500 | Mean Reward=147.54
[PG] Iter 455/500 | Mean Reward=105.05
[PG] Iter 456/500 | Mean Reward=124.66
[PG] Iter 457/500 | Mean Reward=149.81
[PG] Iter 458/500 | Mean Reward=163.75
[PG] Iter 459/500 | Mean Reward=134.91
[PG] Iter 460/500 | Mean Reward=146.79
Saved latest PG checkpoint (iter 460) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 461/500 | Mean Reward=163.97
[PG] Iter 462/500 | Mean Reward=179.40
[PG] Iter 463/500 | Mean Reward=150.50
[PG] Iter 464/500 | Mean Reward=137.99
[PG] Iter 465/500 | Mean Reward=146.18
[PG] Iter 466/500 | Mean Reward=171.81
[PG] Iter 467/500 | Mean Reward=85.10
[PG] Iter 468/500 | Mean Reward=132.32
[PG] Iter 469/500 | Mean Reward=122.08
[PG] Iter 470/500 | Mean Reward=146.05
Saved latest PG checkpoint (iter 470) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
