Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 287/500 | Mean Reward=52.21
[PG] Iter 288/500 | Mean Reward=68.73
[PG] Iter 289/500 | Mean Reward=10.35
[PG] Iter 290/500 | Mean Reward=73.39
Saved latest PG checkpoint (iter 290) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 291/500 | Mean Reward=39.03
[PG] Iter 292/500 | Mean Reward=39.06
[PG] Iter 293/500 | Mean Reward=32.60
[PG] Iter 294/500 | Mean Reward=22.44
[PG] Iter 295/500 | Mean Reward=36.47
[PG] Iter 296/500 | Mean Reward=97.24
[PG] Iter 297/500 | Mean Reward=90.41
[PG] Iter 298/500 | Mean Reward=65.07
[PG] Iter 299/500 | Mean Reward=63.95
[PG] Iter 300/500 | Mean Reward=53.20
Saved latest PG checkpoint (iter 300) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 301/500 | Mean Reward=37.25
[PG] Iter 302/500 | Mean Reward=77.46
[PG] Iter 303/500 | Mean Reward=52.07
[PG] Iter 304/500 | Mean Reward=84.97
[PG] Iter 305/500 | Mean Reward=62.68
[PG] Iter 306/500 | Mean Reward=51.91
[PG] Iter 307/500 | Mean Reward=72.34
[PG] Iter 308/500 | Mean Reward=44.55
[PG] Iter 309/500 | Mean Reward=75.20
[PG] Iter 310/500 | Mean Reward=134.83
Saved latest PG checkpoint (iter 310) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 311/500 | Mean Reward=63.58
[PG] Iter 312/500 | Mean Reward=14.80
[PG] Iter 313/500 | Mean Reward=-4.55
[PG] Iter 314/500 | Mean Reward=55.75
[PG] Iter 315/500 | Mean Reward=57.26
[PG] Iter 316/500 | Mean Reward=66.77
[PG] Iter 317/500 | Mean Reward=83.62
[PG] Iter 318/500 | Mean Reward=-10.37
[PG] Iter 319/500 | Mean Reward=37.07
[PG] Iter 320/500 | Mean Reward=72.85
Saved latest PG checkpoint (iter 320) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 321/500 | Mean Reward=28.58
[PG] Iter 322/500 | Mean Reward=79.69
[PG] Iter 323/500 | Mean Reward=14.40
[PG] Iter 324/500 | Mean Reward=50.79
[PG] Iter 325/500 | Mean Reward=85.83
[PG] Iter 326/500 | Mean Reward=15.35
[PG] Iter 327/500 | Mean Reward=86.35
[PG] Iter 328/500 | Mean Reward=118.65
[PG] Iter 329/500 | Mean Reward=109.49
[PG] Iter 330/500 | Mean Reward=78.70
Saved latest PG checkpoint (iter 330) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 331/500 | Mean Reward=42.90
[PG] Iter 332/500 | Mean Reward=121.00
[PG] Iter 333/500 | Mean Reward=40.66
[PG] Iter 334/500 | Mean Reward=64.47
[PG] Iter 335/500 | Mean Reward=112.62
[PG] Iter 336/500 | Mean Reward=71.93
[PG] Iter 337/500 | Mean Reward=91.20
[PG] Iter 338/500 | Mean Reward=62.83
[PG] Iter 339/500 | Mean Reward=12.05
[PG] Iter 340/500 | Mean Reward=78.75
